22 60
M 4.1
K 4.1
U 4.5
N 3.7
J1 4.0
J2 4.0
I 4.5
L 4.0
G 4.5
H 4.2
F 4.3
O 4.2
E 4.5
S 4.2
P 4.0
D 4.5
Q 4.5
C 4.0
R 4.3
B 4.2
T 4.6
A 3.9
M 1 N
M 2 K
K 3 J1
K 4 U
K 5 M
U 6 K
U 7 J2
N 8 M
N 9 O
J1 10 K
J1 11 J2
J1 12 I
J2 13 U
J2 14 J1
J2 15 L
I 16 J1
I 17 L
I 18 G
L 19 J2
L 20 I
L 21 H
G 22 I
G 23 H
G 24 F
H 25 L
H 26 G
H 27 F
F 28 G
F 29 H
F 30 E
O 31 N
O 32 E
O 33 S
O 34 P
E 35 F
E 36 O
E 37 D
S 38 O
S 39 P
S 40 Q
P 41 S
P 42 O
P 43 D
P 44 Q
D 45 E
D 46 P
D 47 C
Q 48 S
Q 49 P
Q 50 R
C 51 D
C 52 B
R 53 Q
R 54 B
R 55 T
B 56 C
B 57 R
B 58 A
T 59 R
A 60 B
