22 61
0 33 1
0 210 20
1 57 2
1 130 18
1 33 0
2 270 3
2 57 1
3 140 4
3 210 16
3 270 2
4 27 5
4 270 15
4 140 3
5 65 6
5 52 7
5 27 4
6 30 8
6 41 7
6 65 5
7 67 12
7 41 6
7 52 5
8 15 9
8 70 12
8 30 6
9 25 11
9 45 10
9 15 8
10 10 21
10 45 9
10 41 12
11 60 13
11 8 21
11 25 9
12 41 10
12 70 8
12 67 7
13 57 14
13 60 11
14 57 13
14 160 15
15 160 14
15 270 4
15 600 19
15 130 16
16 130 15
16 210 3
16 700 19
16 63 17
17 63 16
17 776 19
17 12 18
18 12 17
18 130 1
18 230 20
19 600 15
19 700 16
19 776 17
20 230 18
21 8 11
21 10 10


